Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
2023-10-22T06:00:00Z,-10.6,168.2,4.0,1.0,993.0,1006.0,160.0,90.0,NaN,45.0,65.0,2.0,40.0,3.0,3.0,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-22T12:00:00Z,-11.19,168.17,4.0,2.0,989.0,1006.0,NaN,NaN,NaN,50.0,70.0,NaN,55.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,NaN,NaN,NaN,NaN,65.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-22T18:00:00Z,-11.54,168.23,4.0,2.0,985.0,1006.0,NaN,NaN,NaN,55.0,75.0,NaN,70.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,NaN,NaN,NaN,NaN,75.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T00:00:00Z,-11.9,168.24999,4.0,2.0,981.0,1006.0,NaN,NaN,NaN,60.0,85.0,NaN,85.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,NaN,NaN,NaN,NaN,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T06:00:00Z,-12.32,168.17,4.0,3.0,978.0,1006.0,NaN,NaN,NaN,65.0,90.0,NaN,100.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T12:00:00Z,-12.73,168.02,4.0,3.0,974.0,1006.0,NaN,NaN,NaN,70.0,100.0,NaN,116.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,95.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T18:00:00Z,-13.14,167.78,4.0,3.0,974.0,1006.0,NaN,NaN,NaN,70.0,100.0,NaN,133.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,95.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T00:00:00Z,-13.53,167.5,4.0,3.0,970.0,1006.0,NaN,NaN,NaN,75.0,105.0,NaN,149.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T06:00:00Z,-13.97,167.13,4.0,3.0,966.0,1006.0,NaN,NaN,NaN,80.0,110.0,NaN,165.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T12:00:00Z,-14.41,166.75,4.0,3.0,961.0,1006.0,NaN,NaN,NaN,85.0,120.0,NaN,189.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T18:00:00Z,-14.82,166.39,4.0,3.0,970.0,1006.0,NaN,NaN,NaN,75.0,105.0,NaN,213.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T00:00:00Z,-15.265,166.02,4.0,3.0,978.0,1006.0,NaN,NaN,NaN,65.0,90.0,NaN,236.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,20.0,20.0,20.0,20.0,95.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T06:00:00Z,-15.72125,165.80749,4.0,2.0,982.0,1006.0,NaN,NaN,NaN,60.0,85.0,NaN,260.0,NaN,NaN,NaN,NaN,NaN,NaN,100.0,110.0,90.0,70.0,NaN,NaN,NaN,NaN,40.0,50.0,30.0,30.0,NaN,NaN,NaN,NaN,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
