Sector,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,62435,62435,0,0,2539323,80787709,30,14,351,62435,2539323,80787709,337,0,0,0,4,2046,9,29575,1,30814,0,0
Infrastructure,10146726,80970,5833480,4232276,282753535,791647069,87,67,268,105932,4366595,24656915,452506,3,5704,303129,2909,799955,511,1619664,195,7110588,1,313387
Other,2080527,1722878,291607,66042,87071923,375700426,2852,2216,9137,2080527,87071923,375700426,6933,8,1167,32405,623,219533,380,1128666,34,699915,0,0
Productive,2307054,935810,969963,401281,196757725,886035752,1227,805,4722,1920958,169234983,829330721,99181,14,1031,26378,1069,400649,224,637981,48,1124679,1,117354
Public,747970,590563,113844,43563,43566340,333654626,492,357,2008,747970,43566340,333654626,1660,4,142,4010,110,38923,81,264732,15,440300,0,0
Residential,9633322,8225693,1054277,353352,309825408,2118138528,8418,6458,31159,9633322,309825408,2118138528,25157,221,2730,64637,1689,684686,1370,4655674,210,3837997,3,390108
Unknown,215541920,212135683,2125977,1280260,1525424411,4376813689,52093,42797,130875,215541920,1525424411,4376813689,88107,15,2935,150046,15207,7177257,19308,69874711,5225,115718965,93,22620927
